"nlm","nlms"
"amniotic fluid","amniotic fluids"
"real time data","real times data"
"valid times","valid time"
"games engine","game engine"
"higher order programme","higher order programm"
"higher order programme","higher order programmer"
"templates match","template match"
"templates match","template matching"
"distribution semantic","distributional semantics"
"distribution semantic","distributional semantic"
"prs","pr"
"transcriptional initiation","transcription initiation"
"hydroxysteroid dehydrogenases","hydroxysteroids dehydrogenase"
"hydroxysteroid dehydrogenases","hydroxysteroid dehydrogenase"
"disease transmission","diseases transmission"
"radio wave","radio waves"
"conjugate gradient methods","conjugate gradient method"
"conjugate gradient methods","conjugate gradients method"
"document classification","documents classification"
"document classification","documented classification"
"assignment problem","assignment problems"
"self assessment","self assessment"
"keystroke dynamics","keystroke dynamic"
"de bruijn graph","de bruijn graphs"
"fluorocarbon","fluorocarbons"
"bromides","bromide"
"anfi","anfis"
"hip","hips"
"hybrids functional","hybrid function"
"hybrids functional","hybrid functional"
"prison","prisons"
"radio access networks","radio access network"
"type theory","types theory"
"type theory","typed theory"
"non linear least square","non linear least squared"
"non linear least square","non linear least squares"
"interactive evolutionary computational","interactive evolutionary computation"
"fuzzy number","fuzzy numbers"
"internets map server","internet map server"
"events calculu","event calculu"
"events calculu","event calculus"
"leave one out error","leaves one out error"
"leave one out error","leave one out errors"
"mental process","mental processes"
"mental process","mental processe"
"engineering informatic","engineering informatics"
"microsoft windows","microsoft window"
"graphical user interfaces test","graphical users interface test"
"graphical user interfaces test","graphical user interface tests"
"graphical user interfaces test","graphical user interface testing"
"graphical user interfaces test","graphical user interface test"
"government regulations","government regulation"
"ieee transactions on patterns analysis and machine intelligence","ieee transactions on pattern analysis and machines intelligence"
"ieee transactions on patterns analysis and machine intelligence","ieee transactions on pattern analysis and machine intelligence"
"ieee transactions on patterns analysis and machine intelligence","ieee transaction on pattern analysis and machine intelligence"
"vertebrae","vertebra"
"disulfide linkage","disulfides linkage"
"rational agent","rational agents"
"patient discharge","patients discharge"
"planar graph","planar graphs"
"sws","sw"
"neurodegenerative disorder","neurodegenerative disorders"
"adversarial machine learning","adversarial machines learn"
"adversarial machine learning","adversarial machine learn"
"buckl","buckling"
"groups","group"
"channel state informational","channel states information"
"channel state informational","channel state information"
"human brain project","human brain projects"
"analytical method","analytic method"
"analytical method","analytical methods"
"function assessment","functional assessment"
"flow networks","flow network"
"crowdsourc","crowdsourcing"
"klinefelter syndrome","klinefelter syndromes"
"metabolic profiles","metabolic profile"
"multispectral imaging","multispectral image"
"multispectral imaging","multispectral images"
"multispectral imaging","multispectral imag"
"ccis","cci"
"towns","town"
"bns","bn"
"genome","genomics"
"genome","genomic"
"engineering draw","engineering drawing"
"cell cycle","cells cycle"
"muscle contraction","muscles contraction"
"muscle contraction","muscle contractions"
"artificial ant","artificial ants"
"luteolysis","luteolysi"
"hospital record","hospital records"
"hospital record","hospitals record"
"security controls","security control"
"contusion","contusions"
"inter domains","inter domain"
"scale invariant features transform","scale invariant feature transform"
"scale invariant features transform","scale invariant feature transformer"
"recurrent disease","recurrent diseases"
"robots control","robot controls"
"robots control","robot control"
"fatty acids oxidation","fatty acid oxidation"
"page replacement algorithmic","page replacement algorithms"
"page replacement algorithmic","page replacement algorithm"
"rule induction","rules induction"
"differential signal","differential signals"
"differential signal","differential signaling"
"constraints satisfaction","constraint satisfaction"
"tests bench","test bench"
